"""Ano Diagnóstico"",""analfabeto"",""1ª a 4ª série incompleta"",""4ª série completa"",""5ª a 8ª série incompleta"",""fundamental completo"",""médio incompleto"",""médio completo"",""superior incompleto"",""superior completo"",""não se aplica"",""Total"""
"""1980"",0,0,0,0,0,1,0,0,0,0,1"
"""1982"",1,1,1,0,0,2,1,1,1,0,8"
"""1983"",0,3,0,3,0,6,0,0,8,0,20"
"""1984"",0,4,0,19,0,13,1,0,27,3,67"
"""1985"",2,20,0,62,0,56,2,0,103,6,251"
"""1986"",16,80,1,112,3,125,3,1,207,12,560"
"""1987"",50,323,3,362,2,336,6,1,432,52,1567"
"""1988"",68,724,5,720,6,608,11,2,685,98,2927"
"""1989"",124,1050,5,1131,2,817,6,2,949,124,4210"
"""1990"",132,1586,7,1729,13,1208,14,3,1250,188,6130"
"""1991"",236,2077,5,2429,12,1712,18,3,1390,248,8130"
"""1992"",311,2902,12,3284,21,2140,24,0,1663,335,10692"
"""1993"",472,3516,16,3965,22,2561,40,3,1546,375,12516"
"""1994"",537,4017,21,4288,30,2811,51,3,1496,537,13791"
"""1995"",698,4436,26,5130,41,3175,50,9,1564,667,15796"
"""1996"",857,5116,28,5942,78,3377,79,19,1756,813,18065"
"""1997"",1051,5893,57,6928,99,3745,126,16,1677,890,20482"
"""1998"",1106,8025,67,6802,125,4191,207,24,1903,848,23298"
"""1999"",962,7465,80,6231,148,3937,188,24,1702,801,21538"
"""2000"",1098,7383,171,6838,213,4173,226,46,1680,686,22514"
"""2001"",1049,6181,152,7257,243,4459,249,43,1617,723,21973"
"""2002"",1088,4410,244,8214,355,5221,387,52,1880,745,22596"
"""2003"",961,3782,310,8533,404,5374,406,60,2027,787,22644"
"""2004"",910,3616,333,8121,507,5341,512,89,2046,597,22072"
"""2005"",843,3104,417,7493,649,4838,718,134,2210,601,21007"
"""2006"",740,2769,758,6791,1189,4165,1046,229,1943,449,20079"
"""2007"",529,2387,2180,5147,3043,1738,2924,552,1213,354,20067"
"""2008"",584,2540,2071,5189,3007,1896,3596,656,1353,344,21236"
"""2009"",621,2376,1947,5167,2959,1822,3915,780,1560,315,21462"
"""2010"",669,2289,1755,5142,2946,1856,4257,921,1706,314,21855"
"""2011"",703,2352,1801,5146,2862,1891,4638,1010,1954,273,22630"
"""2012"",667,2319,1729,5115,2816,1953,5144,1151,2138,291,23323"
"""2013"",657,2194,1497,5116,2887,1889,5332,1323,2171,250,23316"
"""2014"",583,1976,1417,4431,2494,1761,5138,1305,2078,227,21410"
"""2015"",499,1778,1249,3698,2128,1583,4576,1202,1985,159,18857"
"""2016"",450,1406,1003,3220,1877,1423,4154,1029,1733,150,16445"
"""2017"",165,490,325,1173,670,556,1553,420,672,48,6072"
"""Total"",19439,100590,19693,150928,31851,82760,49598,11113,50325,13310,529607"
